Country,Model,Year,Review Score,Sales Volume
Germany,Porsche,XF,2017,2.3,8638
USA,Porsche,XF,2017,2.1,17116
Germany,Porsche,XF,2011,1.2,11645
USA,Porsche,XF,2011,2.0,9441
Germany,Porsche,XF,2021,4.5,8650
USA,Porsche,XF,2021,2.3,8860
Germany,Porsche,XF,2022,4.0,1650
USA,Porsche,XF,2022,2.4,4353
Germany,Porsche,XF,2019,3.5,4537
USA,Porsche,XF,2019,1.9,18084
Germany,Porsche,XF,2020,1.2,7542
USA,Porsche,XF,2020,4.3,10984
Germany,Porsche,XF,2012,3.0,16560
USA,Porsche,XF,2012,4.1,4416
Germany,Porsche,XF,2014,4.1,10719
USA,Porsche,XF,2014,2.9,2069
Germany,Porsche,XF,2016,2.9,9519
USA,Porsche,XF,2016,2.1,7227
Germany,Porsche,XF,2018,2.6,16595
USA,Porsche,XF,2018,2.9,4319
Germany,Porsche,XF,2013,3.5,13570
USA,Porsche,XF,2013,3.6,1589
Germany,Porsche,XF,2010,3.6,12970
USA,Porsche,XF,2010,1.3,15299
Germany,Porsche,XF,2015,2.1,830
USA,Porsche,XF,2015,2.0,16954
France,Porsche,Grandland X,2017,2.8,8639
Germany,Porsche,Grandland X,2017,4.2,6003
USA,Porsche,Grandland X,2017,3.7,8446
France,Porsche,Grandland X,2011,4.1,15470
Germany,Porsche,Grandland X,2011,4.7,17357
USA,Porsche,Grandland X,2011,1.5,11922
France,Porsche,Grandland X,2021,2.0,4723
Germany,Porsche,Grandland X,2021,2.5,11220
USA,Porsche,Grandland X,2021,1.7,6165
France,Porsche,Grandland X,2022,3.5,2821
Germany,Porsche,Grandland X,2022,3.7,3390
USA,Porsche,Grandland X,2022,1.1,10181
France,Porsche,Grandland X,2019,4.8,16675
Germany,Porsche,Grandland X,2019,3.5,17850
USA,Porsche,Grandland X,2019,2.3,12135
France,Porsche,Grandland X,2020,4.5,18212
Germany,Porsche,Grandland X,2020,2.7,12927
USA,Porsche,Grandland X,2020,1.7,12888
France,Porsche,Grandland X,2012,2.0,9314
Germany,Porsche,Grandland X,2012,2.3,8455
